city,date,fare,ride_id
New Paulville,10-03-2018,4.43,1213919861269
Hurleymouth,04-05-2018,21.44,4039657784670
West Samuelburgh,03-03-2018,25.17,1781749929829
Joneschester,01-03-2018,34.71,3343258153690
New Paulville,03-04-2018,32.7,9562561279062
Simpsonburgh,19-01-2018,15.83,233191052705
Port Angela,17-04-2018,16.34,7120534266772
West Ericstad,04-04-2018,28.52,6432849151942
New Kimberlyborough,16-03-2018,17.19,2770472867019
Joneschester,30-01-2018,36.78,1664032953575
North Markport,26-04-2018,44.37,1628416621603
Hurleymouth,22-03-2018,32.85,8449290696111
Barajasview,15-01-2018,19.52,8268107272481
Grahamburgh,06-04-2018,23.87,1468249595739
South Michelleport,02-03-2018,33.12,813844006721
Loganberg,07-01-2018,16.26,9045377966666
West Christopherberg,18-03-2018,12.64,1061090771392
Rogerston,23-02-2018,14.04,7647140329924
Huntermouth,24-02-2018,39.12,928039410570
New Jacobville,09-02-2018,7.11,3855046930326
Lake Jonathanshire,07-04-2018,31.25,4441251834598
Port David,17-03-2018,33.11,1025683688009
Martinezhaven,20-02-2018,13.34,2760692818274
Port Frank,19-04-2018,26.47,6722706570956
Valentineton,02-03-2018,39.77,6770387655387
Hurleymouth,03-03-2018,36.31,167035392736
Carriemouth,25-02-2018,32.37,6918425016992
Port Samanthamouth,16-04-2018,9.2,8712247654732
Williamsstad,23-01-2018,19.62,125986195523
Royland,07-01-2018,24.5,3620854074841
New Jacobville,05-01-2018,34.11,2828521502876
Roberthaven,06-03-2018,12.38,3372963379040
South Evanton,07-01-2018,43.61,9122502715686
New Paulton,03-05-2018,21.67,9086555898522
Karenberg,11-03-2018,36.15,7796761531541
Rodneyfort,30-01-2018,16.99,5778730523049
East Kaylahaven,04-04-2018,23.18,57422927996
Huntermouth,19-02-2018,7.05,1616522979657
Barajasview,23-01-2018,37.68,4108452999906
Williamsstad,29-03-2018,35.58,4747780858464
North Jason,08-03-2018,25.21,3180078116241
Christopherfurt,17-04-2018,23.3,7819057680096
Liumouth,11-01-2018,36.78,1464517778842
Johnton,17-01-2018,32.19,8526302845313
West Angela,08-03-2018,41.06,6204872968343
Jerryton,04-01-2018,37.2,5637872466976
Erikaland,18-02-2018,20.62,3294151034077
North Jason,07-02-2018,20,473650019126
Lake Scottton,05-05-2018,18.77,405381774029
Simpsonburgh,22-03-2018,22.05,3495175591045
Raymondhaven,12-03-2018,16.98,6447701812060
West Robert,05-04-2018,44.58,4246011046064
North Jason,18-03-2018,6.41,2865826852282
Port Samanthamouth,23-01-2018,35.51,3116859378683
West Robert,21-01-2018,27.11,1369907297609
Jerryton,05-01-2018,37.91,1587079787234
Port Samanthamouth,03-02-2018,18.03,9292190648631
Liumouth,15-01-2018,14.55,4379351603939
West Heidi,03-04-2018,24.76,1820229390169
Loganberg,21-01-2018,22.86,1954301151475
Grahamburgh,17-02-2018,30.25,4047930050046
Raymondhaven,06-05-2018,25.76,8721024233275
Karenside,25-01-2018,14.52,2652359361585
Port Frank,06-04-2018,18.08,5474889861628
Leahton,02-04-2018,22.76,5808733389189
Port Samanthamouth,22-04-2018,29.67,3154062122440
Jerryton,13-04-2018,32.08,8499177647057
West Patrickchester,07-03-2018,23.66,3066093529306
West Samuelburgh,03-03-2018,27.48,100530645822
North Markport,31-03-2018,29.41,3093467204446
West Angela,10-03-2018,27.1,1365318639571
Grahamburgh,12-03-2018,22.97,4898014437105
South Michelleport,08-01-2018,23.77,4916160406018
East Kaylahaven,02-04-2018,9.67,2088463469235
South Karenland,22-04-2018,22.86,6728151431002
Lake Danielberg,24-02-2018,9.63,9149328902854
Justinberg,26-04-2018,8.83,1823094898600
Karenberg,29-04-2018,28.41,9052850267417
South Phillip,09-02-2018,7.89,3203192947260
North Madeline,05-04-2018,29.69,240702560536
New Kimberlyborough,01-05-2018,22.59,9250925234627
South Jack,24-04-2018,38.04,2197989679742
Erikaland,11-03-2018,27.39,132013691958
New Paulville,27-03-2018,7.29,7046764870599
Hurleymouth,26-03-2018,41.15,4707260150471
Liumouth,12-04-2018,43.34,7857233769715
Deanville,01-05-2018,8.28,592955132597
Karenside,02-04-2018,41.93,4093612247143
West Angela,30-01-2018,19.13,2078144834391
Liumouth,01-02-2018,24.81,5470070391967
Jerryton,27-03-2018,13.29,8959844730593
South Phillip,04-05-2018,28.3,8696571163934
Port Johnbury,27-04-2018,25.67,2746325666283
Raymondhaven,08-02-2018,5.7,3930029851451
Port David,07-03-2018,42.04,9905958460368
Robertport,06-03-2018,6.73,9679756863064
Loganberg,16-03-2018,23.99,9492898520301
Karenside,19-04-2018,36.01,1322743709668
Lake Jonathanshire,09-03-2018,19.89,2389495660448
Pattyland,30-01-2018,8.57,4688888414629
West Robert,13-04-2018,32.94,9603611942427
Justinberg,12-04-2018,17.03,8374760616644
West Josephberg,09-02-2018,4.42,8303790674379
North Markport,21-01-2018,27.68,4556759119631
Williamsview,09-01-2018,44.46,2195528331786
Raymondhaven,01-02-2018,13.86,8721051413299
South Latoya,12-02-2018,30.22,7388420725356
Deanville,29-03-2018,5.32,2612669233491
Amandaburgh,05-03-2018,26.28,906850928986
Jerryton,27-01-2018,29.08,6160527574249
Deanville,24-03-2018,30.55,5276110988605
West Anthony,23-01-2018,23.24,596601397101
West Anthony,24-02-2018,39.2,8491405671407
West Heidi,30-03-2018,22.41,1711351640331
Royland,01-01-2018,7.57,5815378003370
South Latoya,02-03-2018,10.35,338288902823
Johnton,08-01-2018,43.75,195318504552
West Angela,30-01-2018,32.31,7288678136396
Rodneyfort,08-01-2018,29.4,1184254566839
Royland,02-01-2018,10.19,668201417968
New Paulville,31-01-2018,20.8,1092839241319
Huntermouth,09-04-2018,35.11,3005607850321
New Paulville,30-01-2018,7.02,8504962667575
Justinberg,03-05-2018,36.06,929541725138
Port Angela,31-03-2018,30.77,662264490197
Port Angela,09-04-2018,11.9,7009806605900
Christopherfurt,05-01-2018,33.51,1901033209479
South Michelleport,22-04-2018,43.62,4663606096929
Williamsstad,13-02-2018,33.72,3796713212942
Lake Jonathanshire,07-04-2018,24.28,7796805191168
Robertport,20-03-2018,20.21,9630923585394
Port Angela,08-02-2018,30.38,5165542108944
Barajasview,08-02-2018,24.49,2612169071005
South Evanton,24-01-2018,17.83,2996657789222
Lake Danielberg,13-02-2018,43.96,100023890906
Royland,19-04-2018,25.4,9847755706013
Rodneyfort,08-02-2018,30.02,2497021545678
East Kaylahaven,17-01-2018,40.82,6342488049671
West Christopherberg,17-01-2018,9.04,5154845220316
New Jacobville,15-01-2018,27.24,3812959891670
Lake Jonathanshire,02-01-2018,13.89,424254840012
Port Samanthamouth,25-04-2018,25.5,1169125626263
West Heidi,26-03-2018,22.33,826311164930
Karenside,14-04-2018,13.13,3659608833762
Valentineton,01-02-2018,9.68,2132098607750
Raymondhaven,23-02-2018,4.24,294151163985
Carriemouth,11-03-2018,16.78,1519393006937
West Josephberg,16-01-2018,7.04,2507076269228
Port Samanthamouth,01-03-2018,43.25,1389178507955
Karenberg,30-03-2018,24.64,4539326805168
New Paulton,10-03-2018,28,1067162551534
Joneschester,07-02-2018,6.34,2605462716773
North Jasmine,08-02-2018,4.86,1276628602813
Valentineton,27-02-2018,25.4,6152363850717
New Paulton,20-02-2018,24.29,7738134446199
South Evanton,28-04-2018,22.86,7585355194527
North Jasmine,22-01-2018,31.68,712301571386
West Anthony,17-03-2018,35.42,4561324147940
Jerryton,29-04-2018,41.27,902958428816
Grahamburgh,09-01-2018,13.55,5462604726666
South Jack,30-03-2018,4.2,4817670763151
West Christopherberg,23-01-2018,30.93,5335678989278
Lake Scottton,26-03-2018,9.79,1827900502613
West Patrickchester,14-01-2018,24.82,5934939559689
Royland,17-01-2018,27.92,3147266211478
South Karenland,14-02-2018,39.53,2861641294573
Erikaland,27-03-2018,36.52,2195945483563
Rodneyfort,20-03-2018,42.57,6354946184466
Williamsstad,01-05-2018,26.81,4542954169892
Richardfort,13-02-2018,14,910050116494
West Ericstad,25-01-2018,20.03,3276480043173
Grahamburgh,05-03-2018,4.33,803728527251
North Barbara,04-05-2018,24.09,9275090570165
West Robert,04-01-2018,35.35,9554287895527
Justinberg,14-03-2018,36.32,6771691925128
South Michelleport,03-03-2018,41.62,2339775503972
North Jasmine,22-02-2018,25.33,1319966936025
Barajasview,01-03-2018,28.25,7225827834994
Carriemouth,04-04-2018,12.91,4276692439725
Amandaburgh,24-02-2018,43.66,6573820412437
Johnton,27-03-2018,18.89,3634068282558
Port Angela,04-03-2018,40.35,4930810733132
Rodneyfort,06-05-2018,27.16,3765495922622
Amandaburgh,10-02-2018,36.17,6455620849753
North Madeline,25-02-2018,13.58,4932836345153
West Angela,01-03-2018,30.3,9673529276907
Joneschester,03-01-2018,25.47,5540177253069
Joneschester,03-01-2018,17.97,5439310968925
South Phillip,29-01-2018,35.23,7418234487567
Liumouth,30-03-2018,4.66,3164443361610
West Anthony,10-01-2018,32.34,1479317039864
North Jason,26-02-2018,13.88,2494980859402
North Jason,21-03-2018,10.42,6601538015784
Carriemouth,28-04-2018,11.46,6991852632799
Huntermouth,04-05-2018,36.77,7186624075617
South Phillip,18-04-2018,39.95,9719024631848
South Jack,01-02-2018,28.37,3372008354124
Port Johnbury,05-05-2018,25.3,2541021070088
South Phillip,06-05-2018,43.43,2435201344352
North Jasmine,10-04-2018,38.24,2954995327773
South Michelleport,27-01-2018,15.45,7465262064048
North Madeline,07-04-2018,32.99,1819348275778
Christopherfurt,24-02-2018,40.33,9584185927129
Williamsstad,23-02-2018,4.68,9109973457376
Martinezhaven,18-04-2018,34.7,2023088734313
Simpsonburgh,03-04-2018,4.74,8556334983479
New Jacobville,04-02-2018,27.63,4329146429572
South Karenland,12-02-2018,5.78,8890444520323
Royland,27-01-2018,24.56,9656712323480
Karenside,22-01-2018,24.72,5326728612017
West Robert,05-05-2018,10.15,9392183503517
Port Samanthamouth,27-04-2018,12.84,5659906087636
West Samuelburgh,07-03-2018,14.55,7160360480942
New Kimberlyborough,29-03-2018,42.51,8296939454553
Port David,27-03-2018,15.64,5338482988567
Karenside,18-03-2018,36.96,7605140597934
New Paulton,08-02-2018,39.65,8505964159174
West Ericstad,08-01-2018,32.99,6688341118130
Port Johnbury,21-03-2018,32.8,5450926790120
Port Samanthamouth,27-03-2018,16.05,1412275851963
Port Frank,08-01-2018,42.13,2099160507410
Lake Jonathanshire,06-04-2018,16.84,6164453571846
West Angela,05-02-2018,36.37,7832434584190
Port Samanthamouth,27-03-2018,21.46,9991537657885
North Madeline,04-03-2018,21.38,9544488245764
Williamsview,15-01-2018,44.33,4627033032394
Grahamburgh,21-02-2018,22.65,816396119895
South Evanton,06-03-2018,30.87,5811915354455
Loganberg,27-03-2018,4.72,6120689505628
Carriemouth,21-02-2018,44.18,4528590417948
Port David,02-01-2018,7.45,6148349878448
West Heidi,30-01-2018,30.84,8936556138183
Williamsstad,05-03-2018,25.02,1313211827663
North Barbara,04-02-2018,42.59,4971254409177
Lake Danielberg,17-03-2018,10.18,4714399161872
North Markport,13-04-2018,20.09,4311213165551
Port Angela,02-05-2018,35.76,7945958687114
Port Samanthamouth,15-03-2018,25.97,7725957367534
West Angela,03-05-2018,24.07,7808186044800
Leahton,21-02-2018,24.13,6759666489394
North Markport,28-04-2018,40.46,2567890241480
Karenside,09-03-2018,40.86,1757540646784
Jerryton,07-01-2018,7.86,707330492023
South Michelleport,14-04-2018,37.93,1533269357947
Valentineton,25-03-2018,22.53,2335054032577
East Kaylahaven,09-04-2018,10.03,8036811423686
Erikaland,13-04-2018,25.22,4847173431127
West Christopherberg,08-01-2018,37.78,8767059547253
Pattyland,01-02-2018,32.03,2850242716720
Deanville,08-02-2018,21.22,4786811969861
West Christopherberg,21-03-2018,43.87,5085480897932
Justinberg,23-03-2018,30.58,3503303797228
Lake Danielberg,24-02-2018,34.82,2442272882270
Port Samanthamouth,30-01-2018,38.78,6119834234421
Lake Danielberg,28-02-2018,44.96,6319592522765
Deanville,15-04-2018,24.3,1065303121400
Pattyland,15-02-2018,44.03,1556659025684
Karenside,27-01-2018,7.65,473229767373
Port Angela,22-04-2018,7.91,6767308381142
West Angela,14-04-2018,32.77,4995732310908
South Karenland,26-03-2018,35.5,1482388219714
New Jacobville,18-02-2018,39.97,8028701861067
Roberthaven,14-03-2018,36.84,4123408925006
Lake Scottton,24-04-2018,5.31,9668336101351
Amandaburgh,11-01-2018,29.24,7279902884763
Reynoldsfurt,05-05-2018,14.95,1404730379464
West Patrickchester,09-02-2018,16.1,9112333244288
Christopherfurt,13-04-2018,37.22,3288049380261
South Evanton,27-04-2018,27.78,9377577941892
Lake Scottton,07-02-2018,10.76,4201252290232
Roberthaven,14-03-2018,35.27,4034558003134
Rodneyfort,04-03-2018,28.69,275697942784
West Josephberg,17-02-2018,41.49,2821329685338
Lake Jonathanshire,21-03-2018,37.95,8353656732934
Simpsonburgh,05-02-2018,25.58,2038696705617
West Heidi,19-03-2018,5.65,2474790192418
North Barbara,23-03-2018,23.76,5550267040448
North Jasmine,11-03-2018,37.93,4221378334009
West Gabriel,29-04-2018,36.7,4103498186235
Liumouth,14-04-2018,31.63,6166289534408
Carriemouth,02-03-2018,28.04,5138542326977
West Robert,24-03-2018,34.9,9472333753457
North Jasmine,02-05-2018,29.86,3198992800658
Carriemouth,21-03-2018,44.64,9560844852216
Lake Scottton,15-02-2018,22.75,8382035977413
North Madeline,12-04-2018,7.77,9273340476908
Lake Danielberg,07-01-2018,17.39,4355535554709
North Madeline,30-04-2018,37.48,2508127842117
Port David,07-01-2018,20.49,5846260665949
Royland,11-02-2018,30.41,7200099766471
West Samuelburgh,20-02-2018,19.65,6623791282079
West Angela,18-03-2018,34.05,5332405801414
West Patrickchester,06-03-2018,32.37,3684669591726
Port Frank,05-02-2018,20.1,4443074322856
New Kimberlyborough,09-02-2018,39.55,6010050950112
Justinberg,20-04-2018,29.07,209654592347
West Angela,18-04-2018,16.18,5770095626762
Justinberg,10-03-2018,37.89,5563129650174
Valentineton,10-01-2018,19.91,774511223608
Williamsview,07-04-2018,18.92,23948941587
South Jack,31-01-2018,21.75,6971155853312
Port Frank,18-02-2018,39.06,7301845642275
Leahton,13-02-2018,16.79,4744794513785
South Michelleport,22-02-2018,22.52,8522744579472
South Karenland,25-04-2018,24.86,1307706550174
Richardfort,16-02-2018,17.92,820639054416
Williamsstad,16-04-2018,23.12,969457753191
South Michelleport,12-02-2018,27.7,5582884622172
West Patrickchester,13-04-2018,33.33,1834060234971
Martinezhaven,18-04-2018,5.81,2124254219877
North Jason,23-01-2018,21.95,6701800897657
North Jason,18-04-2018,22.42,4927790361844
Lake Scottton,03-05-2018,9.01,1289762706583
West Christopherberg,01-03-2018,11.97,6422545841490
North Markport,10-04-2018,38.02,8834525256657
Christopherfurt,09-04-2018,29.96,9825842278797
North Madeline,29-01-2018,17.57,2596456211339
Richardfort,01-02-2018,10.26,9554935945413
South Phillip,25-01-2018,38.15,3599156329334
East Kaylahaven,11-02-2018,43.19,8671036380224
Rodneyfort,11-04-2018,36.3,9048909984411
Pattyland,26-04-2018,19.99,8827777964944
South Karenland,24-03-2018,41.44,604857308441
Port David,24-03-2018,28.84,5266776204034
Rodneyfort,10-03-2018,29.13,4634913853499
New Paulton,02-02-2018,17.19,8500434852265
Williamsstad,12-03-2018,18.67,2161825345900
South Michelleport,29-01-2018,9.79,5529055605923
West Christopherberg,21-03-2018,21.41,7703401822129
Lake Scottton,25-03-2018,36.92,7043639906896
Port Angela,19-03-2018,17.21,1694214658257
Christopherfurt,17-04-2018,32.39,653651735748
Joneschester,27-02-2018,33.34,2386091007509
Loganberg,25-01-2018,26.03,9123752490460
South Phillip,19-02-2018,33.07,8518162252523
Deanville,23-01-2018,42.45,7286207597519
New Kimberlyborough,30-01-2018,29.09,8587116438511
Port Johnbury,11-04-2018,9.1,7804751879143
West Patrickchester,19-04-2018,44.5,8638322986256
West Robert,11-01-2018,5.16,1592591668312
New Paulton,28-03-2018,14.94,3703489461658
South Latoya,19-03-2018,31.72,363818381250
Robertport,18-02-2018,43.47,7995689882173
Valentineton,19-01-2018,6.71,9052705381572
South Latoya,18-01-2018,10.98,7144193668593
Simpsonburgh,12-01-2018,24.83,3151662422628
West Patrickchester,12-02-2018,22.64,4553727088647
Richardfort,17-04-2018,23,720020655850
Hurleymouth,20-02-2018,17.07,7023698303898
Leahton,27-01-2018,29.36,2921814447813
West Anthony,29-04-2018,27.04,4375353573218
New Kimberlyborough,05-01-2018,39.47,2812686066656
South Latoya,19-03-2018,40.29,660212576580
Williamsstad,12-04-2018,17.57,7099676230210
South Karenland,01-02-2018,31.64,9377347717139
North Jason,16-04-2018,24.07,9726118672366
West Angela,27-01-2018,9.24,2623127281275
Lake Danielberg,08-02-2018,10.31,2464526787162
Port Samanthamouth,06-04-2018,24.18,8484624581374
New Jacobville,09-02-2018,37.51,5692071338561
New Kimberlyborough,10-03-2018,10.83,1558582913618
New Kimberlyborough,08-01-2018,13.34,626984358861
Karenberg,05-03-2018,44.1,9226782716583
South Phillip,11-04-2018,21.06,4832097145304
Loganberg,20-01-2018,38.66,7239150907201
Carriemouth,01-05-2018,10.97,8792105073561
West Patrickchester,21-01-2018,19.44,2088367820569
Martinezhaven,07-02-2018,4.31,9333328117367
Karenside,08-01-2018,22.64,2411622219363
North Jason,24-03-2018,32.72,7960288695592
Lake Danielberg,28-03-2018,28.53,9808251785117
Pattyland,03-04-2018,14.06,5399011565161
Pattyland,21-02-2018,7.06,5808457670013
Loganberg,11-01-2018,44.34,1376539129772
Leahton,28-02-2018,9.08,8197500470005
Reynoldsfurt,17-01-2018,24.84,5000179618056
Raymondhaven,22-02-2018,7.64,7311722757336
South Latoya,12-02-2018,5.54,839760150140
Lake Scottton,18-01-2018,31.92,5706292854110
Port David,24-02-2018,35.63,3354533588717
Roberthaven,05-04-2018,31.09,1016221662728
Rogerston,24-03-2018,39.6,9196190355530
Karenberg,27-04-2018,44.73,3800715746753
Martinezhaven,14-04-2018,32.57,971301770681
South Evanton,20-01-2018,25.94,3431712132166
North Jasmine,26-04-2018,35.33,6857334790152
Hurleymouth,12-01-2018,10.64,8125602737085
West Robert,07-03-2018,12.22,2705603518423
Deanville,21-04-2018,33.37,7763075637368
South Michelleport,09-01-2018,10.68,3236914422707
Royland,02-02-2018,42.52,7835417212110
Rodneyfort,10-04-2018,25.4,9060368477501
North Madeline,12-01-2018,20.82,8114793919394
Lake Danielberg,28-04-2018,39.82,7889097267847
Port Johnbury,02-05-2018,42.42,3245384693395
Richardfort,21-04-2018,9.54,3698147103219
Liumouth,22-03-2018,33.1,3678560093519
Roberthaven,21-01-2018,23.14,4939144549549
Amandaburgh,21-01-2018,9.26,5528427024492
South Evanton,25-04-2018,26.84,1539243695029
Port Samanthamouth,25-03-2018,34.94,821746998655
South Michelleport,13-03-2018,10.44,5684862759907
North Madeline,14-01-2018,31.88,8713001121613
Hurleymouth,17-03-2018,29.95,5225181132639
Port David,10-04-2018,26.68,5361385420513
Pattyland,10-02-2018,24.39,7264853866807
Liumouth,17-03-2018,19.05,9118269983987
Robertport,03-04-2018,15.14,6669724727514
Hurleymouth,01-04-2018,9.94,4063425632467
West Samuelburgh,17-04-2018,15.03,4021528530189
South Phillip,18-03-2018,17.57,8431004701020
West Josephberg,29-01-2018,7.58,6142965001815
Roberthaven,16-02-2018,14.95,6653679183105
West Christopherberg,27-03-2018,21.55,2201807083816
Christopherfurt,30-03-2018,31.3,7457133283931
Hurleymouth,01-02-2018,22.39,6071733738137
Port Frank,16-03-2018,30.24,1454211942922
Lake Danielberg,16-01-2018,20.07,8448605657090
West Ericstad,28-03-2018,22.28,3135272644045
Karenside,11-03-2018,44.29,3269160721454
South Evanton,17-03-2018,36.31,2783523386780
West Heidi,05-05-2018,37.75,3646773323549
Robertport,28-02-2018,13.39,681044064878
South Jack,05-01-2018,13.14,6809752015805
West Josephberg,28-02-2018,11.1,3529532452493
Port Frank,26-03-2018,28.83,889804632019
Barajasview,19-02-2018,26.83,937248382509
Justinberg,03-01-2018,5.81,9261156860363
North Barbara,17-04-2018,39.18,3503287273107
West Angela,08-03-2018,4.92,5445148182471
South Latoya,19-03-2018,30.03,9560331347461
Hurleymouth,18-01-2018,4.66,8622877858946
Johnton,05-04-2018,22.87,1030619542522
Carriemouth,27-03-2018,38.69,4407120983828
Reynoldsfurt,19-04-2018,13.63,7990078064277
Christopherfurt,16-03-2018,19.61,2290365678398
Liumouth,28-04-2018,5.42,8026921363989
New Kimberlyborough,19-03-2018,15.78,6414956560879
Martinezhaven,07-03-2018,23.55,7385334795420
East Kaylahaven,06-04-2018,35.79,8930600376156
Simpsonburgh,26-04-2018,33.71,2597478534819
Lake Jonathanshire,28-01-2018,5.67,9756573174778
Robertport,19-04-2018,39.57,3970344404659
South Karenland,20-03-2018,33.24,3097268591514
Raymondhaven,07-03-2018,17.66,9257559713061
Port David,18-02-2018,20.16,1847433349462
Royland,20-02-2018,38.28,3616647988532
East Kaylahaven,29-01-2018,41.62,7157222598785
Valentineton,23-02-2018,19.99,9658410514993
Martinezhaven,12-03-2018,21.18,4046813358675
South Phillip,19-02-2018,28.62,4408026801766
Royland,04-05-2018,15.14,4988285663911
West Heidi,05-02-2018,24.32,426277253824
East Kaylahaven,28-02-2018,33.72,1224917954969
New Kimberlyborough,03-04-2018,14.73,9083112202235
South Karenland,10-01-2018,37.58,7165967611782
Richardfort,03-02-2018,29.04,4982665519010
Justinberg,10-03-2018,22.43,5552741571929
Huntermouth,21-03-2018,32.42,3393252517981
Roberthaven,22-03-2018,34.69,1772989496998
West Heidi,11-03-2018,43.45,4654877028801
Raymondhaven,17-02-2018,39.7,3251742665126
Karenside,16-04-2018,39.32,3155939101247
Rogerston,16-03-2018,43.82,4718959573846
Port Johnbury,28-04-2018,36.42,273965502753
West Josephberg,18-01-2018,43.85,9654655899765
North Jasmine,05-02-2018,19.21,6785090593864
Loganberg,10-04-2018,35.97,8828009078941
Barajasview,15-04-2018,17.76,8098247711287
New Paulton,17-04-2018,44.43,338360694028
West Angela,19-01-2018,40.4,740626207222
North Jasmine,18-02-2018,31.49,9759084210607
North Barbara,11-02-2018,43.26,8973500869212
Rogerston,02-03-2018,25.14,1722619288127
Williamsstad,21-02-2018,4.9,7176452471538
South Jack,14-01-2018,40.65,5440570608100
West Anthony,15-04-2018,43.82,4381502138184
Royland,12-02-2018,44.33,5324586781265
West Angela,03-04-2018,23.52,4843054118477
Liumouth,22-02-2018,6.39,8116526250811
Amandaburgh,19-04-2018,6.27,4400632718421
West Ericstad,23-01-2018,10.12,8035850217034
South Jack,15-01-2018,5.58,1793901526227
Barajasview,02-05-2018,17.12,4628923040888
Amandaburgh,20-03-2018,27.45,3701008274871
East Kaylahaven,17-03-2018,8.62,1953430308989
Port Samanthamouth,27-01-2018,28.46,882650442979
New Paulville,25-01-2018,15.04,7529441865090
West Anthony,03-04-2018,10.56,3762871811396
Raymondhaven,06-01-2018,21.19,9473615555967
Rogerston,03-01-2018,36.28,7090350986768
Port David,02-04-2018,41.14,2694440573613
North Markport,08-02-2018,34.69,2742194758388
West Angela,04-03-2018,20.72,1784730761330
South Michelleport,21-04-2018,21.98,5893808238950
Port Frank,10-02-2018,40.82,6386241535933
Rogerston,14-02-2018,19.42,8770692552959
Joneschester,02-04-2018,10.52,4970367967024
South Karenland,17-03-2018,23.26,556550826022
West Angela,05-05-2018,23.66,9188266805735
Royland,10-02-2018,11.24,4949540975576
Christopherfurt,30-01-2018,6.32,4289780319755
Barajasview,09-04-2018,39.36,1801612492097
Christopherfurt,08-02-2018,25.76,951780836764
Leahton,13-01-2018,9.37,4669655714135
Port Angela,15-04-2018,20.16,6490089576161
Loganberg,13-01-2018,41.86,7045605197277
West Heidi,24-02-2018,40.8,4274249900056
Robertport,24-02-2018,8.48,2892772641554
Karenside,14-03-2018,16.31,8818349412178
West Christopherberg,20-03-2018,42.83,6898409001667
West Gabriel,15-01-2018,13.38,7560918647139
Simpsonburgh,01-04-2018,25.65,2869643436519
West Robert,04-05-2018,5.36,9799481382484
Loganberg,17-02-2018,44.47,3541067049177
West Anthony,20-04-2018,11.85,4274669968599
Jerryton,01-05-2018,4.97,8096395372343
North Jasmine,04-03-2018,42.58,8864577115428
North Madeline,26-01-2018,5.59,3676436575718
Royland,25-03-2018,7.09,5660295214299
New Paulton,21-01-2018,18.3,3721166159643
Richardfort,08-02-2018,16.55,2270463070874
Barajasview,03-02-2018,39.39,9437995336707
Pattyland,18-04-2018,28.66,2342400848379
West Christopherberg,17-02-2018,4.4,4353113095330
Grahamburgh,25-02-2018,14.51,6157111914475
New Kimberlyborough,11-04-2018,12.01,135528560801
North Madeline,02-05-2018,11.94,7526664843423
Simpsonburgh,12-04-2018,22.45,7811391600020
Martinezhaven,16-02-2018,15.33,9810609975378
West Heidi,30-03-2018,11.15,2264871572013
Christopherfurt,12-04-2018,22.91,5928118050739
Karenside,28-04-2018,39.41,4711188257853
Rogerston,01-04-2018,28.54,9963100218298
West Samuelburgh,19-02-2018,17.77,7608984799120
Joneschester,17-03-2018,15.35,2307172112042
